id,phase,task,why_it_matters,description,estimated_time_cost
prereq-11,dataset,Add provenance as a column,Enabler: every check below becomes computable only once each row knows where it came from.,"Every row tagged with: source dataset, original label name, split, synthetic vs human, generating model if synthetic, collection date. This one move makes every check below computable.",1d
prereq-12,dataset,Review the taxonomy definition and annotation guidelines,Ambiguous category boundaries are a label-noise ceiling that no amount of tuning can cross. Better to know it than to fight it.,"Who wrote the 44-category taxonomy, against what policy, with what guidelines. Is there inter-annotator agreement data? Where are category boundaries ambiguous (hate speech vs harassment vs toxicity)? Ambiguous boundaries are a label-noise floor no HPO can cross.",1d
prereq-13,dataset,Build the category co-occurrence matrix,"If two categories are near-synonyms in practice, the model is being asked to draw a line the labels do not support.","Which of the 44 categories co-occur, and which are near-synonyms in practice. Highly-correlated pairs mean the model is being asked to draw a distinction the labels may not support.",4h
prereq-14,dataset,Quantify the synthetic fraction,"Synthetic text has different surface statistics. If it is concentrated in one class, the model learns 'synthetic' instead of 'unsafe'.","What share of data is LLM-generated, and is it concentrated in particular categories or in one class? Synthetic text has different surface statistics and becomes a shortcut if unevenly distributed.",4h
prereq-15,dataset,"Leakage, duplication, and split integrity","Leakage makes results look good and not reproduce; duplicates and upsampling inflate apparent sample size and make every statistic overconfident. Found after the fact, it invalidates the whole project.","Requires the provenance column from the previous task. Check: (a) exact and near-duplicate rows within and across sources — note that a source which is itself a merge of other datasets makes cross-source duplication likely; (b) duplicates or near-duplicates spanning the train/eval boundary; (c) GROUPED data (same source prompt, template, generating model, or user) split by row instead of by group, which leaks within-group information across the split; (d) whether either class was up-sampled to hit a target ratio — if so the effective sample size is far below the nominal one and confidence intervals are wrong. Any of these invalidates comparisons, so it must be settled before any tuning result is trusted.",1-2d
prereq-16,dataset,Measure trivial-feature floors,Establishes what a trivial baseline achieves. Without it there is no way to distinguish a model that learned the task from one that learned keywords and length.,"Fit a classifier on each alone and record the primary metric: (a) output/input length; (b) keyword presence — expect this floor to be HIGH in safety classification; (c) source dataset; (d) language/script; (e) majority-class prior. Every later claim must be stated against these floors, not against chance.",1d
prereq-17,dataset,Write the data card,"Becomes the data section of any writeup and the team's shared reference, so this analysis is done once rather than by each new person.","One page: sources, per-category counts, negative-class construction, synthetic fraction, dedup status, split protocol, trivial-feature floors. Becomes the data section of any writeup and the shared team reference.",4h
prereq-18,baseline,Reproduce the current production config exactly,"If the shipped number cannot be reproduced, every later comparison is against an unverifiable reference.","Run the shipped configuration end to end and match the reported numbers. If the numbers do not match, stop and resolve the discrepancy — everything downstream compares against a reference that cannot be recreated.",1d
prereq-19,baseline,Per-category error breakdown of the baseline,"Locates where the errors actually are, so that tuning effort is directed somewhere it can matter.","Confusion structure across all 44 categories: FN rate, FP rate, and which categories get confused with which. Output = a ranked error table.",4h
prereq-20,baseline,Identify the top error contributors,Focuses limited effort. Spreading it evenly across 44 categories wastes most of it.,"Typically ~5 of 44 categories produce most of the error mass. Rank by (error count x severity tier from prereq-7). HPO effort goes here, not spread uniformly.",2h
prereq-21,baseline,Baseline the compute cost,"Inference tuning trades accuracy against latency and cost. Without a cost baseline the trade is invisible, and a slower model may ship for no measured benefit.","Tokens generated per example, p50/p95/p99 latency, cost per 1k examples at the current config. Inference-time HPO trades accuracy against these; without the baseline the trade is invisible.",3h
prereq-22,baseline,Pre-register improvement criteria,"Recorded before results are seen, so that a noise-level change cannot be rationalized into a win afterwards.","Before any search: write down what delta on the primary metric counts as real (must exceed the prereq-8 noise floor), which categories must not regress, and what latency/cost budget cannot be exceeded. One paragraph, dated, shared.",2h
4a-1,inference HPO,Build the joint sweep harness,"Caching raw scores means threshold tuning can be re-run offline many times without regenerating, which is what makes nesting affordable.","Config-driven runner that evaluates a full generation config in one pass. Log per example: raw output, parse status, parsed fields, per-category scores, latency, token count. Persist raw scores so threshold optimization can be re-run offline without regenerating. Reuse the team's Ray Tune/Optuna setup if one exists.",2d
4a-2,inference HPO,Characterize output length before setting the grid,"max_new_tokens must be set from measured lengths. Guessing too low truncates output into invalid JSON, which then gets misread as a model error.","Measure the token-length distribution of current generations (p50/p95/p99/max), separately for safe vs unsafe and for reasoning-heavy categories, and per field order where already observable. The max_new_tokens grid is set from these percentiles, not guessed.",4h
4a-3,inference HPO,Define the joint grid and the sweep subset,"These three parameters interact, so tuning them one at a time finds a false optimum. The space is small enough to enumerate, so enumerate it.","Sweep the generation parameters JOINTLY, not one at a time — they interact (reasoning-first needs more tokens; higher temperature degrades JSON validity and needs more slack). Grid: temperature {0.0, 0.1, 0.3, 0.7} x max_new_tokens {p95, p99, 1.25*p99, 1.5*p99 from 4a-2} x field order {reasoning-first, label-first, no-reasoning} = 48 cells. Temperature=0 needs one sample per cell while temperature>0 needs 3+ for a stable estimate — budget accordingly. Run the sweep on a category-stratified subset (~2k examples), then confirm the top 5 on the full eval set.",4h
4a-4,inference HPO,Specify the threshold optimization procedure,"Thresholds are downstream of generation, so each configuration has its own best operating point. Comparing configs at shared thresholds compares them unfairly.","Thresholds sit downstream of generation, so they are re-optimized INSIDE every grid cell rather than swept alongside temperature and max tokens — each cell produces a different score distribution. Do not joint-search 44 dimensions: use coordinate ascent, sweeping each category's threshold over a percentile grid of its own score distribution (5th-95th in 2.5-point steps) holding the others fixed, 2-3 passes to convergence. Objective = the severity-weighted metric from prereq-3/prereq-7. Fit on a dedicated calibration split, never on eval. Write once as a reusable function; it is called again in 4b-8.",1d
4a-5,inference HPO,Run the joint sweep with nested threshold tuning,Produces the actual result: each configuration scored at its own best operating point rather than at someone else's.,"For each of the 48 cells: generate once on the sweep subset, then run 4a-4 on the cached scores. Report per cell: primary metric at tuned thresholds, parse-failure rate, mean and p95 tokens, p95 latency. Because thresholds are re-fit per cell, every configuration is compared at its own best operating point rather than at a stale one.",2-3d + compute
4a-6,inference HPO,Analyze the response surface,"A single winning configuration carries nothing transferable. The response surface identifies which parameters matter, which do not, and what the reasoning field is actually worth.","Fit main effects and pairwise interactions across the three generation axes rather than reading off a single winner. Answer explicitly: does reasoning-first beat label-first once each has enough tokens; what does the no-reasoning arm cost in accuracy and save in latency (this prices what the reasoning field actually buys); where is the max_new_tokens knee at which parse failures flatten; does temperature>0 ever help, and if so does self-consistency voting (k=3,5) beat it at equal cost.",1d
4a-7,inference HPO,Evaluate constrained decoding as a separate arm,"If invalid JSON is a real share of errors, enforcing the schema may fix more than any hyperparameter can.","If the parse-failure rate from prereq-4 is non-trivial, test grammar-constrained decoding or a schema-enforcing library against free generation plus a retry policy, run at the top 3 generation configs. Compare parse-failure rate, primary metric, latency overhead. May collapse part of the max_new_tokens axis.",1d + compute
4a-8,inference HPO,Threshold stability and overfitting check,"Thresholds fit on few examples memorize noise. Without this check, 44 overfitted values ship and will not hold in production.","Per-category thresholds fit on small N overfit badly. Bootstrap or k-fold the calibration set and report threshold stability per category for the winning config. Where a threshold is unstable, fall back to a tier-level shared threshold instead of a per-category one, and report which categories fell back.",1d
4a-9,inference HPO,Confirm top configs on the full eval set,Rankings found on a subset do not always survive on full data. Cheap insurance against shipping the wrong config.,"Take the top 5 configurations from the subset sweep and re-run on the full eval set with seeds. Subset rankings do not always survive — check that the ordering holds, and report it if it does not.",1d + compute
4a-10,inference HPO,Lock the inference config and re-baseline,Freezes a trustworthy reference point so training-time gains can be attributed to training rather than to inference settings.,"Freeze the winning generation config and thresholds. Re-run the full eval with seeds, confirm the delta exceeds the prereq-8 noise floor and that no high-severity category regressed. This becomes the baseline against which all training-time work is measured.",4h + compute
4b-1,training+inference HPO,Stand up joint-search infrastructure and the fidelity ladder,"A single full training run costs GPU-days, so the search must be able to abandon bad configurations early. The proxy is what makes the search affordable at all.","Ray Tune or Optuna with a TPE/BO sampler plus ASHA (or BOHB) multi-fidelity early stopping. Unlike 4a the space cannot be enumerated — a single full trial costs GPU-days — so coverage comes from a sampler over the JOINT space, not from sweeping one parameter at a time. Define the fidelity ladder (e.g. 10% data/1 epoch -> 30%/2 epochs -> full) and validate that the cheapest rung preserves the ranking of 3-4 known configs before trusting it. Record the rank correlation; if it is weak, raise the bottom rung.",2-3d
4b-2,training+inference HPO,Define one joint search space,"These parameters interact, so tuning them in sequence finds a false optimum. One space searched jointly is both cheaper and more correct.","All coupled parameters searched together in a single space, because LR x effective-batch, rank x alpha, and mixture x loss-weighting all interact. Space: LR log-uniform 5e-6..5e-4; LoRA rank {8,16,32,64}; alpha-to-rank RATIO {1,2} (search the ratio, not alpha independently); effective batch {4 values via grad accumulation}; warmup {0,3,6,10}% of steps; mixture temperature alpha in {0,0.3,0.5,0.7,1.0} (p_i proportional to n_i^alpha); loss-weight exponent beta in {0,0.25,0.5,0.75,1.0} (w_i proportional to (1/n_i)^beta) plus the severity multiplier from prereq-7. Add JSON FIELD ORDER as a training-space dimension if both orders are to be compared — once fine-tuning starts it is a data-format contract, not an inference knob (see 4b-3). ~7-8 searchable dimensions. Deliberately EXCLUDED: epochs (handled by per-epoch checkpoint selection, not search — searching it wastes budget); sequence length (set from the 4a-2 length distribution); thresholds (post-hoc, see 4b-3). Constrain the space to exclude combinations that will OOM rather than discovering them by failure.",4h
4b-3,training+inference HPO,Define the nested inference-HP policy,"An inference configuration tuned on one set of weights does not transfer to another. Without this policy, checkpoints are ranked at the wrong operating point and the wrong one is selected.","An inference config tuned on one set of weights does not transfer to another — the same problem as stale thresholds, generalized. But nesting the full 4a grid inside every trial is 48x the cost and infeasible, so tier the inference parameters by re-tuning cost and by whether they actually drift. (1) THRESHOLDS — must be re-tuned per checkpoint and are cheap (post-hoc on cached scores, no regeneration): wire the 4a-4 coordinate-ascent procedure into the trial objective, cheap variant during search (coarse grid, 1 pass), full procedure on finalists. Scoring trials at shared thresholds ranks them at the wrong operating point and selects the wrong config. (2) MAX_NEW_TOKENS — do not search it, DERIVE it per checkpoint from that checkpoint's own measured output-length distribution, since fine-tuning changes verbosity. (3) TEMPERATURE — fine-tuning changes output entropy so the optimum can shift, but the axis is small: hold it fixed (0.0) during search and re-sweep only on finalists. (4) FIELD ORDER — no longer an inference parameter once fine-tuning begins: training and inference format must match or inference is off-distribution, so it belongs in the training space (4b-2). Risk to check explicitly at the finalist stage: whether ranking under the fixed search-time inference config survives the full sweep. If it does not, that is a finding, not a nuisance.",1d
4b-4,training+inference HPO,Run the joint search over the SFT/LoRA stage,The main search. Produces the trial table that everything downstream analyzes.,"~60-100 trials over the 4b-2 space with TPE + ASHA at reduction factor 3-4, which typically costs 15-25 full-trial-equivalents. Every trial evaluated at tuned thresholds (4b-3) against the primary metric. Log the full trial table including failures — the rejected configurations are needed for 4b-5 and for the writeup.",1-2w compute
4b-5,training+inference HPO,Analyze the search rather than reading off a winner,"Turns a search into knowledge: which dimensions matter, which are flat, and whether the search space was wide enough to contain the optimum.","Run hyperparameter importance (fANOVA or Optuna importances) and inspect pairwise partial-dependence surfaces for the coupled pairs: LR x effective batch, rank x alpha-ratio, mixture alpha x loss-weight beta. Answer explicitly: which dimensions actually matter, which are flat (drop them from any later search), and where the top region sits. Check whether the best configs sit on a space boundary — if so the range was too narrow and must be extended before proceeding.",1d
4b-6,training+inference HPO,Refine around the top region,Coarse search finds the region; this finds the configuration. Most of the usable gain appears here.,"Re-run a narrowed joint search (not an OFAT sweep) around the promising region from 4b-5, at higher fidelity, with the flat dimensions fixed. ~20-30 trials. This is where the usable gain over the coarse stage appears.",4-6d compute
4b-7,training+inference HPO,Instrument RL stability and define automatic kill criteria,RL runs collapse in ways that do not show up in the aggregate metric until compute is already wasted. Also protects the search itself: silently dropped failures make the sampler keep proposing the unstable region.,"RL runs diverge, and diverging runs waste GPU-days and poison the sampler. Log EVERY step (not just at eval): KL to the reference policy, policy entropy, reward mean/std, advantage std, response length distribution, gradient norm, and the fraction of outputs that parse as valid JSON. Two failure modes are specific to a guard model: FORMAT COLLAPSE (valid-JSON rate falls) and MAJORITY-CLASS COLLAPSE (the policy learns that predicting 'safe' for everything earns acceptable reward under 44-way imbalance) — track both explicitly, since neither shows up early in an aggregate metric. Implement a custom Ray Tune Stopper that kills a trial on threshold breach (KL above bound, entropy below bound, valid-JSON rate below bound, reward variance collapsed) rather than waiting for the final metric. CRITICAL for HPO validity: distinguish INFRA failure (OOM, preemption, node loss -> retry) from DIVERGENCE (a real property of that config -> do not retry, record as worst-possible score). Ray Tune's automatic retry will otherwise mask a systematic OOM region as random flakiness, and silently dropping diverged trials leaves the sampler with a censored sample that keeps proposing the unstable region. Note what Ray Tune cannot fix: most RL collapse is a reward-design problem, not a hyperparameter problem — check the reward function first if failures cluster.",2-3d
4b-8,training+inference HPO,Joint search over the DRPO/GRPO stage conditioned on stage-1 finalists,The RL stage has its own coupled parameters and its own failure modes. Carrying three starting checkpoints instead of one hedges the fact that the best SFT model is not always the best RL start.,"Searching the SFT and RL stages simultaneously multiplies cost, so decompose BY STAGE — carrying the top-3 stage-1 checkpoints forward rather than only the single best, since the best SFT checkpoint is not always the best RL starting point. Within the stage, search jointly: group size {4,8,16} (larger gives a lower-variance advantage estimate at proportional cost), KL/regularization coefficient log-uniform ~1e-4..1e-1, clip range, reward normalization scheme. CONFIRM the exact algorithm and its parameter set in the codebase before designing the space — see grpo-inference-hp.md in this folder; variants differ meaningfully. Run under the 4b-7 stability instrumentation and stoppers. Highest-variance stage: budget for reruns and report seed variance per config, not a single number.",1-2w compute
4b-9,training+inference HPO,Full inference sweep on the finalists,Confirms that the ranking found under a fixed inference config survives when each checkpoint is given its own best inference settings.,"Run the complete 4a joint grid (temperature x max_new_tokens, with field order fixed to match the training format) on each of the 3-5 finalist checkpoints, with max_new_tokens derived from each checkpoint's own length distribution per 4b-3. Verify whether the ranking established under the fixed search-time inference config survives; report it if it does not.",2-3d + compute
4b-10,training+inference HPO,Full threshold tuning and stability check on the finalists,"The shipped operating point deserves the full procedure, not the cheap approximation used for ranking during the search.","Run the complete 4a-4 procedure (full percentile grid, 2-3 passes) plus the 4a-8 bootstrap stability check on each finalist. The cheap in-loop variant from 4b-3 is adequate for ranking during search but not for the shipped operating point.",1d per finalist
4b-11,training+inference HPO,Validate the final configuration on held-out test,"The only number that is honest, because it comes from data never used for any tuning decision.","Single clean run of the winning config on data untouched by any tuning, with seeds. Report primary metric vs baseline, per-category deltas with high-severity categories called out, parse-failure rate, latency and cost, and the trivial-feature floors from prereq-16 for context.",1d + compute
4b-12,training+inference HPO,Write up and hand off,"Makes the result reusable and auditable: what was tried, what was rejected, what was never searched, and what may therefore still be on the table.","Config diff vs the shipped baseline, the trial table (including failed and diverged trials with their failure mode) and the importance analysis from 4b-5, the pre-registered criteria from prereq-22 with pass/fail per item, per-category regression table, and a limitations section naming what was not searched and why (the stage decomposition, the excluded dimensions from 4b-2, and the inference parameters held fixed during search per 4b-3).",1-2d
